,lema,animacy,gender,finale,n_syll,accent,soft0
0,кладбище,1,0,щ',2,0,0
1,окно,1,0,н,1,0,1
2,перекрёсток,1,1,к,4,0,1
3,кладбище,1,0,щ',2,0,0
4,кладбище,1,0,щ',2,0,0
5,кладбище,1,0,щ',2,0,0
6,кладбище,1,0,щ',2,0,0
7,поле,1,0,л',1,0,0
8,зеркало,1,0,л,2,0,1
9,платок,1,1,к,2,0,1
10,случай,1,1,й,2,0,1
11,дом,1,1,м,1,1,1
12,район,1,1,н,2,0,1
13,обиход,1,1,д,3,0,1
14,зал,1,1,л,1,0,1
15,огород,1,1,д,3,0,1
16,кладбище,1,0,щ',2,0,0
17,февраль,1,1,л',2,0,0
18,дом,1,1,м,1,1,1
19,уровень,1,1,н',3,0,0
20,стол,1,1,л,1,0,1
21,декабрь,1,1,р',2,0,0
22,место,1,0,т,1,0,1
23,чугун,1,1,н,2,0,1
24,дом,1,1,м,1,1,1
25,озеро,1,0,р,2,0,1
26,возраст,1,1,т,2,0,1
27,магазин,1,1,н,3,0,1
28,трактор,1,1,р,2,0,1
29,трактор,1,1,р,2,0,1
30,хозяйство,1,0,в,2,0,1
31,колхоз,1,1,з,2,0,1
32,кладбище,1,0,щ',2,0,0
33,кладбище,1,0,щ',2,0,0
34,кладбище,1,0,щ',2,0,0
35,кладбище,1,0,щ',2,0,0
36,кладбище,1,0,щ',2,0,0
37,дом,1,1,м,1,1,1
38,конец,1,1,ц,2,0,1
39,клуб,1,1,б,1,1,1
40,банк,1,1,к,1,0,1
41,банк,1,1,к,1,0,1
42,загон,1,1,н,2,0,1
43,сарай,1,1,й,2,0,1
44,рассол,1,1,л,2,0,1
45,порог,1,1,г,2,0,1
46,колхоз,1,1,з,2,0,1
47,апрель,1,1,л',2,0,0
48,колхоз,1,1,з,2,0,1
49,огород,1,1,д,3,0,1
50,колхоз,1,1,з,2,0,1
51,отдых,1,1,х,2,0,1
52,место,1,0,т,1,0,1
53,место,1,0,т,1,0,1
54,дело,1,0,л,1,0,1
55,фронт,1,1,т,1,1,1
56,базар,1,1,р,2,0,1
57,дело,1,0,л,1,0,1
58,сарай,1,1,й,2,0,1
59,поле,1,0,л',1,0,0
60,колхоз,1,1,з,2,0,1
61,колхоз,1,1,з,2,0,1
62,госпиталь,1,1,л',3,0,0
63,колхоз,1,1,з,2,0,1
64,колхоз,1,1,з,2,0,1
65,производство,1,0,в,3,0,1
66,завод,1,1,д,2,0,1
67,завод,1,1,д,2,0,1
68,ресторан,1,1,н,3,0,1
69,каравай,1,1,й,3,0,1
70,бурьян,1,1,н,2,0,1
71,дом,1,1,м,1,1,1
72,апрель,1,1,л',2,0,0
73,июнь,1,1,н',2,0,0
74,лоб,1,1,б,1,0,1
75,колхоз,1,1,з,2,0,1
76,колхоз,1,1,з,2,0,1
77,колхоз,1,1,з,2,0,1
78,колхоз,1,1,з,2,0,1
79,колхоз,1,1,з,2,0,1
80,море,1,0,р',1,0,0
81,поле,1,0,л',1,0,0
82,крыльцо,1,0,ц,1,0,1
83,кладбище,1,0,щ',2,0,0
84,колхоз,1,1,з,2,0,1
85,поле,1,0,л',1,0,0
86,место,1,0,т,1,0,1
87,место,1,0,т,1,0,1
88,район,1,1,н,2,0,1
89,рейс,1,1,с,1,0,1
90,карман,1,1,н,2,0,1
91,чугун,1,1,н,2,0,1
92,поле,1,0,л',1,0,0
93,поле,1,0,л',1,0,0
94,огород,1,1,д,3,0,1
95,число,1,0,л,1,0,1
96,декабрь,1,1,р',2,0,0
97,декабрь,1,1,р',2,0,0
98,декабрь,1,1,р',2,0,0
99,стол,1,1,л,1,0,1
100,закон,1,1,н,2,0,1
101,огород,1,1,д,3,0,1
102,двор,1,1,р,1,0,1
103,двор,1,1,р,1,0,1
104,порядок,1,1,к,3,0,1
105,базар,1,1,р,2,0,1
106,класс,1,1,с,1,0,1
107,тест,1,1,т,1,0,1
108,тест,1,1,т,1,0,1
109,двор,1,1,р,1,0,1
110,курс,1,1,с,1,0,1
111,дом,1,1,м,1,1,1
112,село,1,0,л,1,0,1
113,дом,1,1,м,1,1,1
114,сарай,1,1,й,2,0,1
115,дом,1,1,м,1,1,1
116,дом,1,1,м,1,1,1
117,дом,1,1,м,1,1,1
118,дом,1,1,м,1,1,1
119,сарай,1,1,й,2,0,1
120,двор,1,1,р,1,0,1
121,дом,1,1,м,1,1,1
122,сарай,1,1,й,2,0,1
123,двор,1,1,р,1,0,1
124,колхоз,1,1,з,2,0,1
125,сарай,1,1,й,2,0,1
126,сарай,1,1,й,2,0,1
127,дом,1,1,м,1,1,1
128,сарай,1,1,й,2,0,1
129,двор,1,1,р,1,0,1
130,место,1,0,т,1,0,1
131,место,1,0,т,1,0,1
